,base,tag
0,mój,adj:sg:gen:f:pos
1,niefortunny,adj:pl:nom:n:pos
2,pudło,subst:pl:nom:n
3,przygnębić,praet:pl:n:perf
4,ja,ppron12:sg:dat:m1:pri:nakc
5,do,prep:gen
6,reszta,subst:sg:gen:f
7,.,interp
8,zawsze,adv
9,mieć,praet:sg:m1:imperf
10,być,aglt:sg:pri:perf:wok
11,pretensja,subst:pl:acc:f
12,",",interp
13,że,comp
14,dobry,subst:pl:acc:m1
15,myśliwy,subst:sg:inst:m1
16,a,conj
17,od,prep:gen:nwok
18,dzieciństwo,subst:sg:gen:n
19,nie,qub
20,rozstawać,praet:sg:m1:imperf
21,się,qub
22,z,prep:gen:nwok
23,strzelba,subst:sg:acc:f
24,tu,adv
25,wśród,prep:gen
26,obcy,subst:pl:gen:m1
27,zblamować,praet:sg:m1:perf
28,jak,adv:pos
29,nigdy,adv
30,w,prep:loc:nwok
31,życie,subst:sg:loc:n
32,jakże,adv
33,inaczej,adv
34,strzelać,praet:sg:m1:imperf
35,cietrzew,subst:pl:acc:m2
36,i,conj
37,pardwa,subst:pl:acc:f
38,"""",interp
39,hollandów,ign
40,który,adj:pl:acc:m3:pos
41,pozostawić,praet:sg:m1:perf
42,na,prep:acc
43,wieczny,adj:sg:acc:f:pos
44,zguba,subst:sg:acc:f
45,Petersburg,subst:sg:loc:m3
46,poczciwy,adj:sg:nom:m1:pos
47,Staś,subst:sg:nom:m1
48,Sierakowski,subst:sg:nom:m1
49,pośpieszyć,praet:sg:m1:perf
50,pomoc,subst:sg:inst:f
51,by,comp
52,wyjaśnić,inf:perf
53,niepowodzenie,subst:pl:acc:n
54,-,interp
55,pokazać,impt:sg:sec:perf
56,poprosić,praet:sg:m1:perf
57,gdy,adv
58,podać,praet:sg:m1:perf
59,on,ppron3:sg:dat:m1:ter:nakc:npraep
60,mauzer,subst:sg:gen:m3
61,spytać,praet:sg:m1:perf
62,śmiech,subst:sg:inst:m3
63,:,interp
64,gdzieś,adv
65,ten,adj:sg:acc:n:pos
66,świństwo,subst:sg:acc:n
67,wykopać,praet:sg:m1:perf
68,?,interp
69,ano,qub
70,Gdańsk,subst:sg:loc:m3
71,odrzec,praet:sg:m1:perf
72,zawstydzony,adj:sg:nom:m1:pos
73,chyba,qub
74,ślepy,adj:sg:nom:m1:pos
75,kupować,pcon:imperf
76,taki,adj:sg:acc:f:pos
77,szkarada,subst:sg:acc:f
78,co,subst:sg:nom:n
79,przed,prep:inst:nwok
80,wojna,subst:sg:inst:f
81,hollandy,ign
82,jedyny,adj:sg:nom:f:pos
83,rada,subst:sg:nom:f
84,rzec,praet:sg:m1:perf
85,koniec,subst:sg:loc:m3
86,po,prep:loc
87,oględziny,subst:pl:loc:n
88,broń,subst:sg:gen:f
89,kazać,impt:sg:sec:perf
90,siebie,siebie:dat
91,skrócić,inf:perf
92,szyja,subst:sg:acc:f
93,kilka,num:pl:acc:m3:rec
94,centymetr,subst:pl:gen:m3
95,albo,conj
96,jeszcze,qub
97,dobrze,adv:com
98,rzucić,impt:sg:sec:perf
99,piec,subst:sg:gen:m3
100,spać,praet:pl:m1:imperf
101,śmietnik,subst:sg:acc:m3
0,przestrzeń,subst:sg:acc:f
1,dzielić,pact:sg:acc:f:imperf:aff
2,on,ppron3:sg:gen:m1:ter:akc:npraep
3,od,prep:gen:nwok
4,kolejny,adj:sg:gen:m3:pos
5,skłon,subst:sg:gen:m3
6,schód,subst:pl:gen:m3
7,pokonać,praet:sg:n:perf
8,",",interp
9,kolebać,pcon:imperf
10,się,qub
11,na,prep:loc
12,bok,subst:pl:acc:m3
13,rozkołysać,ppas:sg:loc:m3:perf:aff
14,kaczy,adj:sg:inst:m3:pos
15,chód,subst:sg:inst:m3
16,.,interp
17,dziwny,adj:sg:nom:n:sup
18,jednak,conj
19,być,praet:sg:f:imperf
20,to,subst:sg:nom:n
21,co,subst:sg:nom:n
22,nastąpić,praet:sg:n:perf
23,potem,adv
24,wspinać,inf:imperf
25,stopień,subst:sg:loc:m3
26,mianowicie,conj
27,najpierw,adv
28,przed,prep:inst:nwok
29,stanąć,praet:sg:n:perf
30,niemal,qub
31,donia,subst:pl:gen:f
32,przywrzeć,praet:sg:n:perf
33,sam,adj:sg:nom:n:pos
34,zresztą,qub
35,niewiele,num:pl:nom:n:rec
36,wysoki,adj:pl:nom:f:com
37,a,conj
38,z,prep:gen:nwok
39,olbrzymi,adj:sg:inst:m3:pos
40,wysiłek,subst:sg:inst:m3
41,zacząć,praet:sg:n:perf
42,nań,ign
43,kiedy,adv
44,betonowy,adj:sg:nom:f:pos
45,krawędź,subst:sg:nom:f
46,już,qub
47,w,prep:loc:nwok
48,połowa,subst:sg:loc:f
49,wysokość,subst:sg:gen:f
50,ostrożnie,adv:pos
51,pochylać,pcon:imperf
52,powoli,adv
53,przeważyć,praet:sg:n:perf
54,ciężar,subst:sg:acc:m3
55,ciało,subst:sg:nom:n
56,poziomy,adj:sg:acc:f:pos
57,płaszczyzna,subst:sg:acc:f
58,jakby,comp
59,nie,qub
60,móc,praet:sg:n:imperf
61,zginać,inf:imperf
62,kręgosłup,subst:sg:acc:m3
63,mieć,praet:sg:n:imperf
64,całkiem,adv
65,zesztywniały,adj:sg:acc:m3:pos
66,koniec,subst:sg:loc:m3
67,udać,praet:sg:n:perf
68,lekki,adj:sg:inst:m3:pos
69,stukot,subst:sg:inst:m3
70,opaść,praet:sg:n:perf
71,brzuch,subst:sg:acc:m3
72,leżeć,pcon:imperf
73,tak,adv:pos
74,wydać,praet:sg:n:perf
75,siebie,siebie:gen
76,właśnie,qub
77,jedyny,adj:sg:nom:n:pos
78,swój,adj:sg:loc:m3:pos
79,rodzaj,subst:sg:loc:m3
80,cichutki,adj:sg:acc:n:pos
81,jęknąć,ger:sg:acc:n:perf:aff
82,osiągnąć,pant:perf
83,ten,adj:sg:acc:f:pos
84,faza,subst:sg:acc:f
85,wspinaczka,subst:sg:gen:f
86,przeszło,qub
87,po,prep:loc
88,chwila,subst:sg:gen:f
89,do,prep:gen
90,następny,adj:sg:gen:m3:pos
91,etap,subst:sg:gen:m3
92,ciągle,adv:pos
93,czołgać,inf:imperf
94,daleko,adv:com
95,aż,comp
96,środek,subst:sg:acc:m3
97,ciężkość,subst:sg:gen:f
98,ogół,subst:sg:loc:m3
99,cały,adj:sg:nom:n:pos
100,całkowicie,adv:pos
101,znaleźć,praet:sg:n:perf
